id,instructor_id,section_id,room_id,timeslot_id,term_id
1,1,1,1,127,202630
2,1,1,1,128,202630
3,1,2,1,129,202630
4,1,3,1,130,202630
5,2,4,2,47,202630
6,3,5,3,131,202630
7,3,6,4,132,202630
8,3,7,5,45,202630
9,3,8,6,61,202630
10,4,9,5,133,202630
11,4,9,4,133,202630
12,5,10,5,134,202630
13,5,11,6,135,202630
14,3,12,3,43,202630
15,6,13,3,136,202630
16,6,13,4,136,202630
17,1,14,1,137,202630
18,7,15,7,138,202630
19,8,16,2,139,202630
20,9,17,2,51,202630
21,10,18,8,13,202630
22,10,19,8,5,202630
23,10,20,8,51,202630
24,11,21,8,7,202630
25,10,22,8,93,202630
26,10,23,8,53,202630
27,12,24,9,140,202630
28,12,24,10,141,202630
29,13,25,9,142,202630
30,12,26,9,143,202630
31,13,27,9,43,202630
32,12,28,9,144,202630
33,4,29,11,145,202630
34,5,30,12,115,202630
35,4,31,12,146,202630
36,4,32,3,147,202630
37,5,33,13,148,202630
38,5,33,13,149,202630
39,5,34,12,150,202630
40,5,34,12,151,202630
41,14,35,14,152,202630
42,14,36,14,153,202630
43,9,37,15,3,202630
44,15,38,16,154,202630
45,9,39,15,155,202630
46,15,40,16,156,202630
47,15,41,17,157,202630
48,15,42,17,158,202630
49,15,43,16,5,202630
50,15,44,16,159,202630
51,14,45,14,160,202630
52,14,46,18,161,202630
53,14,47,14,162,202630
54,14,48,14,138,202630
55,16,49,19,163,202630
56,16,50,19,164,202630
57,16,51,20,156,202630
58,16,52,20,165,202630
59,16,53,19,166,202630
60,16,54,21,167,202630
61,16,55,20,168,202630
62,16,56,20,138,202630
63,17,57,7,169,202630
64,1,58,22,170,202630
65,4,59,12,171,202630
66,18,60,23,172,202630
67,18,60,24,172,202630
68,18,60,25,172,202630
69,18,61,26,173,202630
70,18,62,26,174,202630
71,19,63,25,139,202630
72,19,64,26,175,202630
73,19,64,26,176,202630
74,19,65,26,177,202630
75,19,65,26,178,202630
76,19,66,26,179,202630
77,18,67,25,180,202630
78,18,67,25,181,202630
79,18,68,25,182,202630
80,19,69,26,183,202630
81,1,70,1,184,202570
82,1,71,1,185,202570
83,1,71,1,139,202570
84,1,72,1,186,202570
85,3,73,3,131,202570
86,3,74,4,187,202570
87,3,75,4,132,202570
88,5,76,3,139,202570
89,5,77,6,188,202570
90,3,78,5,189,202570
91,3,79,4,190,202570
92,3,14,5,191,202570
93,7,15,7,138,202570
94,2,80,2,139,202570
95,20,81,2,192,202570
96,20,16,2,193,202570
97,15,82,16,194,202570
98,10,83,8,47,202570
99,10,84,8,11,202570
100,10,85,8,195,202570
101,10,86,8,49,202570
102,10,87,8,9,202570
103,13,88,10,196,202570
104,13,89,9,43,202570
105,12,90,10,197,202570
106,12,91,10,198,202570
107,13,92,9,45,202570
108,5,93,11,146,202570
109,5,93,27,199,202570
110,5,93,13,146,202570
111,4,94,5,131,202570
112,4,95,5,132,202570
113,4,96,5,200,202570
114,4,97,12,201,202570
115,4,97,12,202,202570
116,5,98,13,190,202570
117,14,99,14,203,202570
118,14,99,14,204,202570
119,14,100,14,205,202570
120,9,101,15,3,202570
121,9,102,15,11,202570
122,15,103,16,155,202570
123,11,104,17,206,202570
124,15,105,16,207,202570
125,9,106,15,7,202570
126,15,107,16,5,202570
127,16,108,20,207,202570
128,16,109,19,208,202570
129,16,110,19,209,202570
130,16,111,20,210,202570
131,16,111,20,211,202570
132,14,112,14,212,202570
133,16,113,20,213,202570
134,16,49,19,214,202570
135,16,50,19,164,202570
136,16,114,20,160,202570
137,17,115,7,43,202570
