id,name
1,Associate of Science Registered Nurse (ASN)
2,Automobile Collision Repair and Refinishing Technology Associate of Applied Science Degree
3,Automotive Technology Associate of Applied Science Degree
4,Diesel Technology Associate of Applied Science Degree
5,Computer Programming and Application Development Associate of Applied Science Degree
6,Computer Systems Technology Associate of Applied Science Degree
7,Construction Management Associate of Applied Science Degree
8,Cybersecurity/Network Support Associate of Applied Science
9,Cybersecurity/Network Technology Associate of Science Program of Study
10,Welding and Metal Fabrication Technology Associate of Applied Science
