id,name,active
1,COT-B052,1
2,COT-B012,1
3,COT-B045,1
4,COT-A079,1
5,COT-B041,1
6,COT-A100,1
7,COT-B007,1
8,COT-B056,1
9,COT-B010,1
10,COT-A120,1
11,COT-B042,1
12,COT-B053,1
13,COT-A106,1
14,COT-A109A,1
15,COT-B049,1
16,COT-B057,1
17,COT-B055,1
18,COT-A109,1
19,COT-A062,1
20,COT-B036,1
21,COT-,1
22,COT-A072,1
23,COT-B028,1
24,COT-A070,1
25,COT-A083,1
26,COT-A085,1
27,COT-A101,1
28,HSCT-201,1
29,HSCT-219,1
30,HSCT-203,1
31,HSCT-117,1
32,HSCT-119,1
33,HSCT-217,1
34,HSCT-211,1
35,HSCT-101,1
36,HSCT-139,1
37,HSCT-141,1
38,HSCT-127,1
39,HSCT-103,1
40,HSCT-107,1
41,HSCT-113,1
42,HSCT-133,1
43,HSCT-247,1
44,HSCT-233,1
