id,programs_semesters_id,course_id
1,1,125
2,1,126
3,1,130
4,1,131
5,1,165
6,1,147
7,2,127
8,2,128
9,2,150
10,2,151
11,2,152
12,2,153
13,3,159
14,3,154
15,3,155
16,3,163
17,4,156
18,4,158
19,4,157
20,5,106
21,5,107
22,6,16
23,6,145
24,7,64
25,7,65
26,7,66
27,7,55
28,7,166
29,7,186
30,8,1
31,8,2
32,8,3
33,8,14
34,8,132
35,9,67
36,9,68
37,9,145
38,9,104
39,9,105
40,9,106
41,9,107
42,10,5
43,10,6
44,10,9
45,10,7
46,10,8
47,10,166
48,10,186
49,11,14
50,11,69
51,11,70
52,11,71
53,11,72
54,11,55
55,11,132
56,11,16
57,12,10
58,12,11
59,12,12
60,12,13
61,12,54
62,13,132
63,13,86
64,13,87
65,13,104
66,13,105
67,13,106
68,13,107
69,14,29
70,14,31
71,14,28
72,14,166
73,14,186
74,14,145
75,15,16
76,15,88
77,15,85
78,15,54
79,15,71
80,15,89
81,16,30
82,16,33
83,16,55
84,16,32
85,17,79
86,17,76
87,17,145
88,18,17
89,18,18
90,18,20
91,18,36
92,18,37
93,19,75
94,19,77
95,19,78
96,19,166
97,20,132
98,20,42
99,20,19
100,20,21
101,20,22
102,21,132
103,21,74
104,21,79
105,21,97
106,21,145
107,22,36
108,22,37
109,22,42
110,22,166
111,23,93
112,23,96
113,23,94
114,23,98
115,24,38
116,24,39
117,24,40
118,24,41
119,24,43
120,25,16
121,25,73
122,25,80
123,25,81
124,25,82
125,25,145
126,26,132
127,26,166
128,26,23
129,26,24
130,26,15
131,27,84
132,27,83
133,28,25
134,28,26
135,28,27
136,29,16
137,29,74
138,29,97
139,29,145
140,30,36
141,30,37
142,30,40
143,30,42
144,31,95
145,31,96
146,31,98
147,31,166
148,32,132
149,32,38
150,32,39
151,33,16
152,33,74
153,34,36
154,34,42
155,35,95
156,35,98
157,36,38
158,36,96
159,37,186
160,37,111
161,37,112
162,37,113
163,37,114
164,38,145
165,38,56
166,38,57
167,38,58
168,38,59
169,39,16
170,39,115
171,39,116
172,39,117
173,40,132
174,40,60
175,40,61
176,40,62
177,40,63
